食物编码,食物名称,食部,水分,能量,蛋白质,脂肪,碳水化合物,不溶性膳食纤维 ,胆固醇,灰分,总维生素A,胡萝卜素,视黄醇,硫胺素,核黄素,烟酸  ,维生素 C,维生素 E,钙,磷,钾,钠,镁,铁,锌,硒,铜,锰,备注,
,,%,g,kcal,g,g,g,g,mg,  g,HgRAE,μg,μg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,mg,mg,,
11101,小麦,100,10,338,11.9,1.3,75.2,10.8,0,1.6,0,0,0,0.4,0.1,4,0,1.82,34,325,289,6.8,4,5.1,2.33,4.05,0.43,3.1,－,
11102,五谷香,100,5.6,378,9.9,2.6,78.9,0.5,0,3,0,0,0,0.11,0.19,,0,2.31,2,13,7,1,,0.5,0.23,1.15,0.08,0.05,河北,
011201x,小麦粉(代表值),100,11.2,359,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,0.66,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,－,
11202,小麦粉(富强粉，特一粉),100,12.7,351,10.3,1.1,75.2,0.6,0,0.7,0,0,0,0.17,0.06,2,0,0.73,27,114,128,2.7,32,2.7,0.97,6.88,0.26,0.77,－,
11203,小麦粉(特二粉),100,12,352,10.4,1.1,75.9,1.6,0,0.6,0,0,0,0.15,0.11,2,0,1.25,30,120,124,1.5,48,3,0.96,6.01,0.58,0.92,－,
11204,小麦胚粉,100,4.3,403,36.4,10.1,44.5,5.6,0,4.7,－,－,0,3.5,0.79,3.7,0,23.2,85,1168,1523,4.6,198,0.6,23.4,65.2,0.83,17.3,－,
11205,麸皮,100,14.5,282,15.8,4,61.4,31.3,0,4.3,10,120,0,0.3,0.3,12.5,0,4.47,206,682,862,12.2,382,9.9,5.98,7.12,2.03,10.85,甘肃,
11206,小麦粉(标准粉),100,9.9,362,15.7,2.5,70.9,－,0,1,0,0,0,0.46,0.05,1.91,0,0.32,31,167,190,3.1,50,0.6,0.2,7.42,0.06,0.1,－,
11207,小麦粉(富强粉、特一粉),100,10.8,362,12.3,1.5,74.9,－,0,0.5,0,0,0,0.11,0.03,0.94,0,0.32,27,114,128,2.7,32,0.7,0.39,6.79,0.03,0.04,－,
11208,小麦粉(特制),100,10.4,366,13.3,2.2,73.5,0.3,0,0.6,0,0,0,0.09,0.04,1.01,0,-,23,167,356,60.3,105,0,0.94,8.41,-,0.02,天津,
011301x,挂面(代表值),100,11.5,353,11.4,0.9,75.1,0.9,0,1,－,－,0,0.17,0.04,2.09,0,1.11,20,134,129,184.5,49,2.3,0.72,9.21,0.27,0.71,－,
11302,挂面(标准粉),100,12.4,348,10.1,0.7,76,1.6,0,0.8,－,－,0,0.19,0.04,2.5,0,1.11,14,153,157,150,51,3.5,1.22,9.9,0.44,1.28,－,
11304,挂面(精制龙须面),100,11.9,348,11.2,0.5,74.7,0.2,0,1.7,－,－,0,0.18,0.03,2.5,0,－,26,137,109,292.8,48,2.3,0.87,14.28,0.33,0.81,－,
011305x,面条(生，代表值),100,24.2,301,8.9,0.6,65.6,0.8,0,0.8,－,－,0,0.22,0.07,1.8,0,0.47,12,139,123,21.4,42,4.3,1.09,6.59,0.15,0.71,－,
11306,面条(标准粉，切面),100,29.7,283,8.5,1.6,59.5,1.5,0,0.7,－,－,0,0.35,0.1,3.1,0,0.47,13,142,161,3.4,61,2.6,1.07,0.4,0.2,1.35,北京,
11308,面条(特粉，切面),100,27.5,287,7.3,0.1,64.5,0.6,0,0.6,－,－,0,0.17,0.09,0.3,0,0.47,3,181,128,9.7,36,4.7,1.68,15.82,0.16,0.74,青海,
